Rank,Abundance_items_m3,Basin_ID,Country,Region,Specific_Location,Lat,Lon
1,160237.70310474682,453698,India,Maharashtra,Kharakvasla,18.51848887196451,73.77066842145607
2,54766.10588821349,434303,China,Jiangsu Sheng,Dongshan,31.903606679920156,118.8491944397868
3,50652.673228908905,742703,United States,Missouri,Jackson,37.50763278491843,-89.62718912638279
4,37022.08399309284,443061,Thailand,Nonthaburi,Pak Kret,13.930980278709619,100.49682820920576
5,36943.49322279761,216043,Spain,Aragon,Albalate del Arzobispo,41.104747048265736,-0.45208758136327093
6,31662.118350546996,453699,India,Maharashtra,Chakan,18.799910492143695,73.86781354558597
7,31600.777537288588,742444,United States,Missouri,Pineville,36.613639656113165,-94.29662233847526
8,28333.6976511515,742912,United States,Missouri,Fort Leonard Wood,37.68020096372912,-92.15123146126487
9,26929.9717282957,142349,Nigeria,Kaduna,Soba,10.953617916784577,8.055745384287853
10,25631.18745135979,142347,Nigeria,Kaduna,Kaduna,10.522736946108981,7.504205251514364
