Latitudinal_Band,Mean_Retention,Median_Retention,Std_Dev,Basin_Count
-60 to -45,0.7858459006440736,0.8242244619103241,0.18912310731272414,38
-45 to -30,0.6773622589707151,0.758585807828117,0.28858337901708014,153
-30 to -15,0.7816490935377599,0.8634913399572545,0.23041932066812704,174
-15 to 0,0.7967154342177671,0.884252753303971,0.23106699021977375,269
0 to 15,0.7564394001315297,0.862290628717576,0.2523126743614386,315
15 to 30,0.7507390594385641,0.8433608036643916,0.25688302066014934,256
30 to 45,0.7521873632716395,0.8533062986023361,0.2534442075037085,376
45 to 60,0.7313078782669169,0.791365758003278,0.23543613991331616,463
60 to 75,0.7471801117043813,0.797164789294893,0.20547253391486509,751
